Section,Text
Original Arrivals,"Joseph & Mary Anne Bevis (nee Lodge) and three children migrated from Essex, England, to the District of Port Phillip, sailing in the ship 'Samuel Boddington' from Cork on 21.9.1841 and arriving at Port Phillip on 13.1.1842. Their arrival in Australia had tragic consequences. The youngest child, Susan, aged 14 months, died at Melbourne on 3.4.1842. Mary Bevis, aged 25, wife and mother, died at River Plenty, a short distance north of Melbourne, on 28.4.1842."
Wood Family Arrival,"Joshua & Harriet Wood (nee Fawcett), natives of Yorkshire, England, migrated to Van Diemen's Land in the brig 'Wellington', which departed Liverpool on 29.3.1832 and arrived in Hobart Town on 10.8.1832. After six years, during which two children were born, the Wood family sailed to Adelaide, South Australia, and settled at Prospect Village, where Joshua acquired land in 1842. Joshua died a widower on 5.8.1857."
Naming Note,The surname 'Beevis' (Essex branch) appears to have been simplified to 'Bevis' in the Australian branch of the family.
Military Service,"Arthur Henry Bevis served in WWI as Sapper 291, 1st Engineers Corps, AIF. Patrick John Bevis served in WWII, RAAF service number 422532, Flight Lieutenant, training under BCATP at Brandon, Manitoba c.1942-43."
Research Notes,"Compiled from a handwritten family tree document. Some dates and spellings are as transcribed from the original document, which may contain errors. Dates preceded by 'c.' are approximate."
